Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-05-17,272.01,273.23,271.13,271.94,56536400
2018-05-18,271.33,272.03,270.93,271.62,64367959
2018-05-21,273.37,273.98,271.3512,273.01,58025875
2018-05-22,272.61,274.25,272.24,273.96,52966358
2018-05-23,273.36,273.39,270.99,271.17,64694184
2018-05-24,272.8,273.22,270.78,272.91,76043827
2018-05-25,272.15,272.86,271.58,272.15,56374755
2018-05-28,272.15,272.86,271.58,272.15,56374755
2018-05-29,269.02,271.17,267.76,270.31,115908607
2018-05-30,272.61,273.11,270.42,270.5,69678449
2018-05-31,270.94,272.49,270.255,272.15,93519941
2018-06-01,273.6,273.94,272.33,272.41,71258411
2018-06-04,274.9,275.185,274.26,274.53,45385166
2018-06-05,275.1,275.53,274.18,275.05,51135038
2018-06-06,277.4,277.52,275.09,275.79,62732215
2018-06-07,277.37,278.28,276.34,277.95,72969402
2018-06-08,278.19,278.25,276.66,276.85,72139719
2018-06-11,278.56,279.37,278.31,278.44,58892515
2018-06-12,278.92,279.33,278.19,279.03,72329028
2018-06-13,278.03,279.48,277.8,279.19,79070610
2018-06-14,278.73,279.33,278.0599,279.01,77097620
2018-06-15,277.13,277.51,275.35,276.6,120041562
2018-06-18,276.56,276.7,274.95,275.49,52917581
2018-06-19,275.5,275.75,273.53,274,97531510
2018-06-20,275.97,276.72,275.59,276.27,53785486
2018-06-21,274.24,275.98,273.68,275.96,71061404
2018-06-22,274.74,275.785,274.49,275.66,56612003
2018-06-25,271,273.6162,269.1,273.44,137854162
2018-06-26,271.6,272.56,270.79,271.64,68683211
2018-06-27,269.35,273.865,269.18,272.26,105110674
2018-06-28,270.89,271.75,268.49,269.29,76650517
2018-06-29,271.28,273.66,271.1495,272.12,97592499
2018-07-02,271.86,272.04,269.24,269.51,63554774
2018-07-03,270.9,272.98,270.42,272.87,42187071
2018-07-04,270.9,272.98,270.42,272.87,42187071
2018-07-05,273.11,273.18,270.96,272.17,56925919
2018-07-06,275.42,275.84,272.715,273.14,66493696
2018-07-09,277.9,277.96,276.5,276.55,50550399
2018-07-10,278.9,279.01,278.08,278.41,51966829
2018-07-11,276.86,278.04,276.52,277.15,77054739
2018-07-12,279.37,279.43,277.6,278.28,60124687
2018-07-13,279.59,279.93,278.66,279.17,48234964
2018-07-16,279.34,279.803,278.84,279.64,48201038
2018-07-17,280.47,280.91,278.41,278.47,52315500
2018-07-18,281.06,281.18,280.06,280.56,44593465
2018-07-19,280,280.74,279.46,280.31,61412117
2018-07-20,279.68,280.48,279.5,279.77,82372729
2018-07-23,280.2,280.43,279.06,279.45,47047565
2018-07-24,281.61,282.56,280.63,281.79,68026935
2018-07-25,284.01,284.37,281.28,281.33,78882927
2018-07-26,283.34,284.11,283.09,283.2,57919495
2018-07-27,281.42,283.82,280.38,283.71,76783177
2018-07-30,279.95,281.69,279.36,281.51,63742508
2018-07-31,281.33,282.02,280.38,280.81,68570493
2018-08-01,280.86,282.13,280.1315,281.56,53853326
2018-08-02,282.39,282.58,279.16,279.39,63426363
2018-08-03,283.6,283.6577,282.33,282.53,53935386
2018-08-06,284.64,284.99,283.2015,283.64,39400887
2018-08-07,285.58,286.01,285.24,285.39,43196646
