Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2018-12-20,500.013,501.275,479.527,479.527
2018-12-21,511.258,511.875,504.715,504.715
2018-12-24,525.834,526.073,515.309,515.482
2018-12-25,525.834,526.073,515.309,515.482
2018-12-26,521.837,532.624,521.439,524.707
2018-12-27,524.635,528.252,523.551,525.266
2018-12-28,522.046,524.452,521.343,524.269
2018-12-31,521.029,521.135,517.859,518.722
2019-01-01,521.029,521.135,517.859,518.722
2019-01-02,525.986,527.523,523.225,526.119
2019-01-03,536.79,537.277,524.802,526.153
2019-01-04,496.993,527.653,496.993,527.653
2019-01-07,477.381,497.919,477.381,497.919
2019-01-08,461.21,474.357,461.208,474.357
2019-01-09,452.772,457.748,451.345,457.686
2019-01-10,450.433,458.913,450.433,454.963
2019-01-11,452.282,454.751,451.871,451.871
2019-01-14,456.105,456.907,454.749,456.16
2019-01-15,452.032,457.613,452.032,455.857
2019-01-16,444.418,449.509,444.189,448.508
2019-01-17,439.928,447.243,439.51,446.608
2019-01-18,430.091,438.298,430.072,438.298
2019-01-21,430.091,438.298,430.072,438.298
2019-01-22,441.863,441.888,434.403,434.403
2019-01-23,441.134,441.728,437.524,437.993
2019-01-24,444.681,446.049,443.868,443.868
2019-01-25,435.757,442.351,435.757,442.351
2019-01-28,441.576,442.51,435.989,435.989
2019-01-29,442.64,442.928,440.42,441.174
2019-01-30,441.818,443.156,439.352,442.597
2019-01-31,437.997,442.09,437.997,441.289
2019-02-01,430.751,437.656,429.811,437.053
2019-02-04,426.167,428.814,425.022,428.814
2019-02-05,420.566,425.026,420.01,424.453
2019-02-06,418.672,421.304,418.259,421.094
2019-02-07,429.381,429.715,422.54,422.54
2019-02-08,434.053,434.633,431.428,432.069
2019-02-11,432.369,432.807,431.235,432.186
2019-02-12,424.225,428.158,424.209,428.006
2019-02-13,421.551,423.158,420.506,423.158
2019-02-14,425.594,427.829,421.784,421.784
2019-02-15,420.447,423.492,420.447,423.492
2019-02-18,420.447,423.492,420.447,423.492
2019-02-19,424.297,424.434,421.793,422.159
2019-02-20,419.802,423.653,419.646,423.653
2019-02-21,417.346,418.739,416.492,418.351
2019-02-22,418.815,420.829,417.748,418.085
2019-02-25,416.274,416.944,414.667,416.944
2019-02-26,414.081,415.953,412.69,413.935
2019-02-27,408.571,413.661,408.267,413.661
2019-02-28,404.494,409.448,403.727,409.448
2019-03-01,397.408,401.142,397.408,401.142
2019-03-04,400.511,400.838,396.155,396.999
2019-03-05,401.663,401.663,398.519,398.976
2019-03-06,407.262,407.577,402.321,402.723
2019-03-07,414.629,415.021,408.053,408.057
2019-03-08,421.378,423.415,416.631,416.631
2019-03-11,416.892,420.858,416.705,420.782
2019-03-12,416.571,417.747,415.091,415.839
2019-03-13,410.974,414.675,410.974,414.675
2019-03-14,409.676,411.725,408.841,410.725
2019-03-15,410.241,411.62,408.921,409.32
2019-03-18,408.986,409.729,407.96,409.666
2019-03-19,409.507,409.507,405.32,407.684
2019-03-20,415.299,416.561,409.93,409.93
2019-03-21,412.249,417.993,412.165,417.764
2019-03-22,426.978,427.304,418.613,418.613
2019-03-25,438.506,439.933,424.558,424.558
2019-03-26,428.403,433.32,427.625,431.58
2019-03-27,431.903,433.531,430.67,432.65
2019-03-28,427.283,431.79,427.262,431.79
2019-03-29,419.414,423.72,419.011,422.859
2019-04-01,407.312,414.36,406.906,414.36
2019-04-02,410.764,411.578,409.814,410.296
2019-04-03,404.416,406.264,404.059,406.188
2019-04-04,404.601,406.227,404.601,406.227
2019-04-05,407.337,407.337,401.42,401.608
2019-04-08,404.388,408.034,404.388,407.177
2019-04-09,405.767,406.881,403.728,404.072
2019-04-10,406.608,408.033,405.027,405.634
2019-04-11,400.725,404.931,400.055,404.931
2019-04-12,391.08,394.793,391.013,394.793
2019-04-15,389.071,390.025,388.407,388.516
2019-04-16,386.268,387.724,385.702,387.433
2019-04-17,388.304,389.288,384.444,385.237
2019-04-18,393.031,393.164,389.837,391.316
2019-04-19,393.031,393.164,389.837,391.316
2019-04-22,393.407,394.337,392.71,392.71
2019-04-23,393.262,395.382,393.186,393.186
2019-04-24,396.763,397.601,395.772,395.772
2019-04-25,396.36,398.15,395.981,396.724
2019-04-26,399.232,399.968,396.767,397.564
2019-04-29,396.716,399.008,396.117,398.834
2019-04-30,397.824,398.264,394.854,395.493
2019-05-01,395.636,401.887,394.595,397.76
2019-05-02,394.986,395.296,393.338,393.677
2019-05-03,392.196,396.627,392.196,393.539
2019-05-06,399.991,401.151,397.518,397.65
2019-05-07,407.064,407.912,400.49,401.13
2019-05-08,406.642,410.505,406.209,410.197
2019-05-09,417.511,418.755,411.306,411.306
2019-05-10,416.921,422.283,416.761,418.359
2019-05-13,436.123,436.496,423.555,423.555
2019-05-14,434.372,435.807,433.035,434.475
2019-05-15,440.413,442.244,438.399,438.399
2019-05-16,433.159,437.663,431.972,437.09
2019-05-17,432.957,437.885,432.419,437.292
2019-05-20,430.581,433.74,430.366,433.555
2019-05-21,426.485,428.728,426.428,428.236
2019-05-22,431.607,431.607,428.155,428.155
2019-05-23,444.686,447.216,435.088,435.088
2019-05-24,444.697,445.502,442.954,444.699
2019-05-27,444.697,445.502,442.954,444.699
2019-05-28,452.948,452.948,447.269,447.269
2019-05-29,459.499,464.151,456.52,456.52
2019-05-30,462.752,463.259,457.285,460.015
