Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2017-05-22,12.225,12.95,12.2,12.85,139195
2017-05-23,12.325,12.6,12.1,12.25,114747
2017-05-24,11.975,12.5,11.85,12.3,116862
2017-05-25,12.025,12.2,11.8,11.95,123330
2017-05-26,11.925,12.25,11.8,12,78150
2017-05-29,11.925,12.25,11.8,12,78150
2017-05-30,11.825,12.2,11.75,11.95,84137
2017-05-31,11.825,12.3,11.65,11.85,151162
2017-06-01,11.625,12,11.55,11.85,103056
2017-06-02,11.625,11.8,11.5,11.61,72055
2017-06-05,11.775,11.8,11.4,11.6,64736
2017-06-06,11.975,12.1,11.75,11.79,90264
2017-06-07,11.875,12.25,11.8,11.99,95706
2017-06-08,11.625,11.95,11.4,11.9,101353
2017-06-09,11.725,12.47,11.15,11.65,204702
2017-06-12,11.875,12.4,11.7,11.75,145636
2017-06-13,11.425,11.94,11.35,11.85,112821
2017-06-14,11.475,11.88,11.33,11.41,131926
2017-06-15,11.525,12.35,11.49,11.5,132732
2017-06-16,11.325,11.8,11.3,11.55,101780
2017-06-19,10.875,11.35,10.6,11.3,111662
2017-06-20,11.125,11.27,10.5,10.85,116974
2017-06-21,11.15,11.36,10.95,11.15,4668
2017-06-22,11.975,12.3,11.95,12.2,81313
2017-06-23,11.875,12.15,11.8,12,97939
2017-06-26,11.625,12,11.6,11.85,92635
2017-06-27,12.025,12.15,11.55,11.65,154973
2017-06-28,11.675,12.35,11.6,12.05,121510
2017-06-29,12.025,13.75,11.6,11.65,346676
2017-06-30,12.325,12.67,11.9,12.05,165048
2017-07-03,12.575,12.65,11.9,12.2,91770
2017-07-04,12.575,12.65,11.9,12.2,91770
2017-07-05,12.325,12.8,12.1,12.55,149562
2017-07-06,13.025,13.2,12.2,12.3,174202
2017-07-07,12.575,13.15,12.4,13.05,127858
2017-07-10,12.225,12.55,11.9,12.55,115258
2017-07-11,12.125,12.9,12.05,12.2,156420
2017-07-12,11.525,12.25,11.45,12.15,116769
2017-07-13,11.075,11.6,11.05,11.55,106678
2017-07-14,10.575,11.25,10.53,11.1,105021
2017-07-17,10.275,10.7,10.25,10.6,105663
2017-07-18,10.125,10.6,10.05,10.3,100185
2017-07-19,9.85,10.25,9.74,10.15,3805
2017-07-20,11.475,11.75,11.44,11.5,113255
2017-07-21,11.375,11.65,11.34,11.46,111624
2017-07-24,11.325,11.5,11.1,11.4,78115
2017-07-25,11.175,11.35,11.1,11.3,84363
2017-07-26,11.275,11.3,11,11.15,72318
2017-07-27,11.425,12.1,11.1,11.3,188346
2017-07-28,11.375,11.95,11.35,11.43,151652
2017-07-31,11.275,11.63,11.25,11.45,88557
2017-08-01,11.225,11.42,11.15,11.3,91700
2017-08-02,11.275,11.6,11.1,11.25,122520
2017-08-03,11.325,11.5,11.2,11.28,100316
2017-08-04,11.275,11.5,11.1,11.34,92908
2017-08-07,11.125,11.3,11.05,11.25,43528
2017-08-08,11.525,11.87,10.95,11.1,206962
2017-08-09,11.725,12.61,11.5,11.55,271473
2017-08-10,15.525,15.6,11.7,11.75,345025
2017-08-11,15.425,16.55,14.3,15.55,282397
2017-08-14,12.45,15.1,12.25,15,124994
2017-08-15,12.325,12.6,11.85,12.43,94481
2017-08-16,12.16,12.56,11.9,12.31,10365
2017-08-17,14.925,15.45,12.95,13.1,357587
2017-08-18,14.975,15.35,14.08,14.95,314792
2017-08-21,14.125,15.07,14.1,14.8,141699
2017-08-22,12.975,14.17,12.95,14.15,145937
2017-08-23,13.625,13.85,12.9,12.95,162709
2017-08-24,13.425,13.95,13.05,13.65,143811
2017-08-25,13.075,13.55,13.04,13.45,102341
2017-08-28,13.025,13.5,12.9,12.95,93187
2017-08-29,13.175,14.8,13,13.05,163517
2017-08-30,13.175,13.42,13,13.15,91642
2017-08-31,12.625,13.25,12.55,13.2,119676
2017-09-01,12.625,12.8,12.45,12.6,91860
2017-09-04,12.625,12.8,12.45,12.6,91860
2017-09-05,13.175,14.3,12.85,13.4,226369
2017-09-06,13.175,13.62,13.05,13.2,132455
2017-09-07,12.825,13.35,12.75,13.15,125625
2017-09-08,13.275,13.45,12.83,12.85,107019
2017-09-11,12.075,13.1,12.05,12.95,124051
2017-09-12,11.875,12.15,11.8,12.05,114873
2017-09-13,11.525,12,11.45,11.9,85782
2017-09-14,11.475,11.95,11.4,11.55,87615
2017-09-15,11.125,11.9,11.05,11.48,87972
2017-09-18,10.675,11.15,10.5,11.1,101259
2017-09-19,10.825,10.9,10.35,10.7,92113
2017-09-20,10.45,10.9,10.4,10.8,5420
2017-09-21,12.325,12.5,12.25,12.3,89617
2017-09-22,12.425,12.85,12.3,12.35,79926
2017-09-25,12.375,12.85,12.15,12.35,142386
2017-09-26,12.275,12.61,12.2,12.4,77545
2017-09-27,12.175,12.35,12.05,12.29,79969
2017-09-28,11.925,12.3,11.9,12.2,62111
2017-09-29,11.675,12.05,11.6,11.94,83531
2017-10-02,11.375,11.7,11.3,11.65,91315
2017-10-03,11.375,11.5,11.3,11.4,61324
2017-10-04,11.325,11.5,11.3,11.4,74714
2017-10-05,10.825,11.35,10.8,11.3,87567
2017-10-06,10.825,11.28,10.8,10.85,109443
2017-10-09,11.125,11.35,10.75,10.85,67856
2017-10-10,10.925,11.3,10.88,11.1,104120
2017-10-11,10.775,11.1,10.7,10.95,90673
2017-10-12,10.575,10.9,10.5,10.75,96429
2017-10-13,10.275,10.7,10.2,10.6,91394
2017-10-16,10.275,10.4,10.1,10.26,77286
2017-10-17,10.375,10.6,10.1,10.3,93687
2017-10-18,10.3,10.55,10.25,10.35,7569
2017-10-19,11.475,12.47,11.45,11.55,142693
2017-10-20,11.325,11.55,11.3,11.45,66816
2017-10-23,11.775,11.9,11.2,11.35,94887
2017-10-24,11.925,12,11.4,11.8,140266
2017-10-25,12.025,13.25,11.89,11.95,273068
2017-10-26,12.075,12.35,11.9,12.05,129258
2017-10-27,11.425,12.25,11.4,12.05,112959
2017-10-30,11.575,11.95,11.35,11.4,128435
2017-10-31,11.275,11.65,11.2,11.65,83650
2017-11-01,11.375,11.5,11.1,11.25,96722
2017-11-02,11.125,11.8,11.07,11.4,114652
2017-11-03,10.975,11.2,10.85,11.14,90375
