Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2020-02-07,1.5834,1.6456,1.5697,1.6422
2020-02-10,1.5696,1.5972,1.5422,1.5577
2020-02-11,1.6006,1.6023,1.5696,1.5799
2020-02-12,1.6333,1.6368,1.5954,1.604
2020-02-13,1.6173,1.6241,1.5661,1.6053
2020-02-14,1.5848,1.6173,1.5712,1.6173
2020-02-17,1.5848,1.5848,1.5848,1.5848
2020-02-18,1.561,1.578,1.5356,1.5763
2020-02-19,1.5661,1.5849,1.5457,1.5678
2020-02-20,1.5152,1.5815,1.5051,1.5747
2020-02-21,1.4713,1.522,1.4359,1.5118
2020-02-24,1.3705,1.4308,1.3505,1.4241
2020-02-25,1.3521,1.414,1.3055,1.3855
2020-02-26,1.3371,1.3805,1.2988,1.3554
2020-02-27,1.2607,1.3321,1.2408,1.3254
2020-02-28,1.1486,1.2855,1.1143,1.2772
2020-03-02,1.1632,1.1649,1.0283,1.0996
2020-03-03,0.999,1.1697,0.9043,1.16
2020-03-04,1.0522,1.0619,0.9297,0.9829
2020-03-05,0.912,1.0506,0.8976,1.0506
2020-03-06,0.7623,0.9184,0.6572,0.9152
2020-03-09,0.5407,0.5979,0.3137,0.4964
2020-03-10,0.803,0.8061,0.5621,0.6072
2020-03-11,0.8695,0.8887,0.6332,0.754
2020-03-12,0.8042,0.9029,0.6299,0.8377
2020-03-13,0.9603,1.0152,0.719,0.8169
2020-03-16,0.7182,0.8512,0.6214,0.6417
2020-03-17,1.0784,1.098,0.7308,0.7339
2020-03-18,1.1915,1.2594,0.9825,1.0393
2020-03-19,1.1404,1.2727,0.9985,1.1421
2020-03-20,0.8454,1.1138,0.839,1.1122
2020-03-23,0.7863,0.8724,0.6853,0.7849
2020-03-24,0.8466,0.8914,0.7657,0.7705
2020-03-25,0.8673,0.8721,0.778,0.8466
2020-03-26,0.8447,0.8527,0.762,0.8225
2020-03-27,0.6746,0.8463,0.6652,0.8319
2020-03-30,0.7264,0.7264,0.5962,0.6589
2020-03-31,0.6695,0.7264,0.6475,0.7169
2020-04-01,0.5832,0.6726,0.5661,0.6616
2020-04-02,0.597,0.633,0.5645,0.5692
2020-04-03,0.5948,0.6198,0.5667,0.6079
2020-04-06,0.6698,0.6824,0.6088,0.6088
2020-04-07,0.7122,0.782,0.6761,0.6934
2020-04-08,0.7722,0.777,0.6914,0.7153
2020-04-09,0.7191,0.7834,0.7096,0.7818
2020-04-10,0.7191,0.7191,0.7191,0.7191
2020-04-13,0.7713,0.7713,0.7109,0.7222
2020-04-14,0.752,0.7729,0.7266,0.7713
2020-04-15,0.6316,0.7488,0.6159,0.7425
2020-04-16,0.6267,0.655,0.5922,0.6363
2020-04-17,0.6417,0.6882,0.5852,0.6708
2020-04-20,0.6053,0.648,0.6053,0.6402
2020-04-21,0.5691,0.6211,0.5394,0.6101
2020-04-22,0.619,0.6363,0.5454,0.5769
2020-04-23,0.6015,0.6361,0.5889,0.619
2020-04-24,0.6008,0.6197,0.5773,0.6031
2020-04-27,0.6605,0.6621,0.5992,0.6039
2020-04-28,0.6129,0.67,0.5925,0.6621
