Start Date,9/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,10/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY US Equity,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,VIX Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,UX1 Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USGG10YR Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USOHHYTO Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime
Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2/18/2019,277.37,277.41,276.13,276.36,97088659,,2/18/2019,14.91,16.82,14.79,16.82,#N/A N/A,,2/18/2019,16.325,17.45,16.25,16.95,91943,,2/18/2019,2.6626,2.6626,2.6626,2.6626,0,,2/18/2019,420.447,423.492,420.447,423.492,#N/A N/A
2/19/2019,277.85,278.58,276.47,276.4813,59120804,,2/19/2019,14.88,16.16,14.64,15.65,#N/A N/A,,2/19/2019,16.325,16.75,16.15,16.3,68374,,2/19/2019,2.6339,2.6734,2.6321,2.6716,0,,2/19/2019,424.297,424.434,421.793,422.159,#N/A N/A
2/20/2019,278.41,278.92,277.25,277.81,76610767,,2/20/2019,14.02,15.19,13.99,14.92,#N/A N/A,,2/20/2019,15.575,16.56,15.5,16.35,92142,,2/20/2019,2.6447,2.6572,2.625,2.6375,0,,2/20/2019,419.802,423.653,419.646,423.653,#N/A N/A
2/21/2019,277.42,278.1,276.345,277.7,64214727,,2/21/2019,14.46,15.17,13.85,14,#N/A N/A,,2/21/2019,15.875,16.17,15.4,15.5,92811,,2/21/2019,2.6914,2.695,2.6393,2.6447,0,,2/21/2019,417.346,418.739,416.492,418.351,#N/A N/A
2/22/2019,279.14,279.36,277.4029,278.11,78114616,,2/22/2019,13.51,14.47,13.51,14.46,#N/A N/A,,2/22/2019,15.175,16,15.14,15.9,63211,,2/22/2019,2.6518,2.6878,2.6357,2.6878,0,,2/22/2019,418.815,420.829,417.748,418.085,#N/A N/A
2/25/2019,279.52,281.31,279.43,280.73,69030699,,2/25/2019,14.85,14.9,13.44,13.91,#N/A N/A,,2/25/2019,15.575,15.65,14.7,15.15,81829,,2/25/2019,2.6626,2.6824,2.6536,2.6644,0,,2/25/2019,416.274,416.944,414.667,416.944,#N/A N/A
2/26/2019,279.32,280.3,278.9,279.13,56844101,,2/26/2019,15.17,15.28,14.52,15.16,#N/A N/A,,2/26/2019,15.725,15.98,15.4,15.6,65701,,2/26/2019,2.6357,2.6644,2.6303,2.659,0,,2/26/2019,414.081,415.953,412.69,413.935,#N/A N/A
2/27/2019,279.2,279.59,277.48,278.52,56921570,,2/27/2019,14.7,16.17,14.7,15.53,#N/A N/A,,2/27/2019,15.675,16.4,15.56,15.82,86047,,2/27/2019,2.6825,2.6969,2.6267,2.6339,0,,2/27/2019,408.571,413.661,408.267,413.661,#N/A N/A
2/28/2019,278.68,279.45,278.32,278.96,69268293,,2/28/2019,14.78,15.24,14.39,15.17,#N/A N/A,,2/28/2019,15.575,16,15.3,15.65,75106,,2/28/2019,2.715,2.7294,2.6573,2.6752,0,,2/28/2019,404.494,409.448,403.727,409.448,#N/A N/A
3/1/2019,280.42,280.88,278.82,280.44,78880548,,3/1/2019,13.57,14.84,13.41,14.57,#N/A N/A,,3/1/2019,14.825,15.7,14.8,15.65,74393,,3/1/2019,2.7531,2.7658,2.7095,2.715,0,,3/1/2019,397.408,401.142,397.408,401.142,#N/A N/A
3/4/2019,279.4,281.87,276.84,281.6,106494637,,3/4/2019,14.63,16.98,13.38,13.77,#N/A N/A,,3/4/2019,15.275,16.46,14.45,14.75,165992,,3/4/2019,2.7223,2.764,2.7168,2.7531,0,,3/4/2019,400.511,400.838,396.155,396.999,#N/A N/A
3/5/2019,279.02,279.76,278.41,279.54,59114559,,3/5/2019,14.74,15.39,14.26,14.52,#N/A N/A,,3/5/2019,15.475,15.8,15.2,15.4,81348,,3/5/2019,2.7169,2.7477,2.7132,2.7241,0,,3/5/2019,401.663,401.663,398.519,398.976,#N/A N/A
3/6/2019,277.33,279.16,276.97,279.15,75039771,,3/6/2019,15.74,16.11,14.74,14.91,#N/A N/A,,3/6/2019,16.075,16.22,15.43,15.55,91407,,3/6/2019,2.6934,2.7187,2.6771,2.7169,0,,3/6/2019,407.262,407.577,402.321,402.723,#N/A N/A
3/7/2019,275.01,276.99,274.07,276.83,94885089,,3/7/2019,16.59,17.81,15.54,16.33,#N/A N/A,,3/7/2019,16.725,17.3,16.01,16.15,154307,,3/7/2019,2.6393,2.6916,2.6339,2.6861,0,,3/7/2019,414.629,415.021,408.053,408.057,#N/A N/A
3/8/2019,274.46,274.65,272.42,272.94,85795799,,3/8/2019,16.05,18.33,16.02,17.38,#N/A N/A,,3/8/2019,16.675,17.9,16.55,16.75,127370,,3/8/2019,2.6285,2.6501,2.6051,2.6447,0,,3/8/2019,421.378,423.415,416.631,416.631,#N/A N/A
3/11/2019,278.44,278.62,275.23,275.26,65098897,,3/11/2019,14.33,16.43,14.33,16.28,#N/A N/A,,3/11/2019,15.025,16.96,14.95,16.8,98829,,3/11/2019,2.6393,2.6573,2.6213,2.6285,0,,3/11/2019,416.892,420.858,416.705,420.782,#N/A N/A
3/12/2019,279.49,280.07,278.85,279.06,79667530,,3/12/2019,13.77,14.7,13.61,13.97,#N/A N/A,,3/12/2019,14.475,15.25,14.35,15.05,84308,,3/12/2019,2.6015,2.6717,2.5926,2.6573,0,,3/12/2019,416.571,417.747,415.091,415.839,#N/A N/A
3/13/2019,281.34,282.38,280.3,280.48,80639153,,3/13/2019,13.41,14.05,13.25,14,#N/A N/A,,3/13/2019,14.075,14.85,14,14.45,69092,,3/13/2019,2.6213,2.6267,2.6033,2.6033,0,,3/13/2019,410.974,414.675,410.974,414.675,#N/A N/A
3/14/2019,281.16,281.84,280.6662,281.37,67518366,,3/14/2019,13.5,13.84,13.16,13.35,#N/A N/A,,3/14/2019,13.925,14.31,13.75,14.07,59662,,3/14/2019,2.6303,2.6429,2.6087,2.6195,0,,3/14/2019,409.676,411.725,408.841,410.725,#N/A N/A
3/15/2019,281.31,282.21,280.33,280.54,81308979,,3/15/2019,12.88,13.28,12.5,13.21,#N/A N/A,,3/15/2019,13.475,13.95,13.25,13.92,61198,,3/15/2019,2.5871,2.6357,2.5782,2.6249,0,,3/15/2019,410.241,411.62,408.921,409.32,#N/A N/A
3/18/2019,282.33,282.66,281.3,281.55,62199806,,3/18/2019,13.1,13.8,13,13.13,#N/A N/A,,3/18/2019,12.925,13.85,12.9,13.5,54423,,3/18/2019,2.6033,2.6087,2.5835,2.5925,0,,3/18/2019,408.986,409.729,407.96,409.666,#N/A N/A
3/19/2019,282.4,284.36,281.41,283.51,90268121,,3/19/2019,13.56,13.77,12.37,12.89,#N/A N/A,,3/19/2019,12.35,13.05,12.4,13,3006,,3/19/2019,2.6123,2.6321,2.5889,2.6015,0,,3/19/2019,409.507,409.507,405.32,407.684,#N/A N/A
3/20/2019,281.55,283.5,280.32,282.16,84609210,,3/20/2019,13.91,14.3,13.05,13.54,#N/A N/A,,3/20/2019,15.325,15.55,14.8,15.1,104429,,3/20/2019,2.5263,2.6159,2.5227,2.6123,0,,3/20/2019,415.299,416.561,409.93,409.93,#N/A N/A
3/21/2019,284.73,285.18,280.59,280.64,79550375,,3/21/2019,13.63,14.56,13.26,14.11,#N/A N/A,,3/21/2019,15.075,15.65,14.9,15.45,88143,,3/21/2019,2.5369,2.5423,2.4977,2.5227,0,,3/21/2019,412.249,417.993,412.165,417.764,#N/A N/A
3/22/2019,279.25,283.8034,279.18,283.22,122659286,,3/22/2019,16.48,17.52,13.62,13.77,#N/A N/A,,3/22/2019,16.725,17.1,15.05,15.08,229169,,3/22/2019,2.439,2.5369,2.416,2.5369,0,,3/22/2019,426.978,427.304,418.613,418.613,#N/A N/A
3/25/2019,279.04,280.1853,277.64,278.87,85575197,,3/25/2019,16.33,17.85,16.26,17.76,#N/A N/A,,3/25/2019,16.825,17.5,16.5,16.65,140956,,3/25/2019,2.3983,2.4709,2.3754,2.4496,0,,3/25/2019,438.506,439.933,424.558,424.558,#N/A N/A
3/26/2019,281.12,282.18,279.56,280.99,68125920,,3/26/2019,14.68,16.3,14.67,16.22,#N/A N/A,,3/26/2019,15.925,16.8,15.85,16.8,98062,,3/26/2019,2.423,2.4513,2.4,2.4124,0,,3/26/2019,428.403,433.32,427.625,431.58,#N/A N/A
3/27/2019,279.65,281.76,277.93,281.11,72224722,,3/27/2019,15.15,16.71,14.51,14.52,#N/A N/A,,3/27/2019,16.225,17,15.75,15.9,110932,,3/27/2019,2.3665,2.4301,2.3507,2.4212,0,,3/27/2019,431.903,433.531,430.67,432.65,#N/A N/A
3/28/2019,280.71,281.21,279.07,280.35,56238545,,3/28/2019,14.43,15.62,14.41,15.38,#N/A N/A,,3/28/2019,15.625,16.6,15.58,16.3,69551,,3/28/2019,2.3946,2.4034,2.3384,2.3612,0,,3/28/2019,427.283,431.79,427.262,431.79,#N/A N/A
3/29/2019,282.48,282.84,281.14,282.39,82186806,,3/29/2019,13.71,14.43,13.64,14.19,#N/A N/A,,3/29/2019,15.225,15.75,15.05,15.6,86493,,3/29/2019,2.405,2.4316,2.3891,2.3893,0,,3/29/2019,419.414,423.72,419.011,422.859,#N/A N/A
4/1/2019,285.83,286.16,284.4,284.7,77617945,,4/1/2019,13.4,14.01,13.32,13.9,#N/A N/A,,4/1/2019,14.875,15.2,14.85,15.2,80161,,4/1/2019,2.5009,2.5063,2.4227,2.4263,0,,4/1/2019,407.312,414.36,406.906,414.36,#N/A N/A
4/2/2019,285.97,286.23,285.09,286.04,40070351,,4/2/2019,13.36,13.68,13.13,13.62,#N/A N/A,,4/2/2019,14.875,15.2,14.75,15,63001,,4/2/2019,2.4741,2.4902,2.4652,2.4884,0,,4/2/2019,410.764,411.578,409.814,410.296,#N/A N/A
4/3/2019,286.42,287.76,285.75,287.32,68243202,,4/3/2019,13.74,14.27,12.85,13.06,#N/A N/A,,4/3/2019,14.875,15.35,14.45,14.85,92251,,4/3/2019,2.5241,2.5259,2.467,2.4724,0,,4/3/2019,404.416,406.264,404.059,406.188,#N/A N/A
4/4/2019,287.18,287.459,286.01,286.78,48997505,,4/4/2019,13.58,14.03,13.4,13.84,#N/A N/A,,4/4/2019,14.775,15.2,14.7,14.9,65242,,4/4/2019,2.5151,2.5241,2.4937,2.5169,0,,4/4/2019,404.601,406.227,404.601,406.227,#N/A N/A
4/5/2019,288.57,288.63,287.6,287.92,58621729,,4/5/2019,12.82,13.47,12.17,13.46,#N/A N/A,,4/5/2019,14.325,14.89,14.3,14.8,56432,,4/5/2019,2.4954,2.5419,2.4918,2.5133,0,,4/5/2019,407.337,407.337,401.42,401.608,#N/A N/A
4/8/2019,288.79,288.91,287.37,288.1,53566335,,4/8/2019,13.18,13.77,13.1,13.55,#N/A N/A,,4/8/2019,14.475,14.7,14.27,14.35,64354,,4/8/2019,2.5222,2.5222,2.4846,2.5025,0,,4/8/2019,404.388,408.034,404.388,407.177,#N/A N/A
4/9/2019,287.31,288.08,286.7,287.72,66142316,,4/9/2019,14.28,14.39,13.31,13.46,#N/A N/A,,4/9/2019,15.075,15.15,14.35,14.35,64956,,4/9/2019,2.5006,2.5257,2.4828,2.515,0,,4/9/2019,405.767,406.881,403.728,404.072,#N/A N/A
4/10/2019,288.29,288.3899,287.31,287.77,52601499,,4/10/2019,13.3,14.29,13.27,14.09,#N/A N/A,,4/10/2019,14.425,15.21,14.3,15.1,59232,,4/10/2019,2.4649,2.5096,2.4613,2.4971,0,,4/10/2019,406.608,408.033,405.027,405.634,#N/A N/A
4/11/2019,288.21,288.84,287.578,288.83,55093100,,4/11/2019,13.02,13.58,12.91,13.37,#N/A N/A,,4/11/2019,13.825,14.6,13.75,14.4,82337,,4/11/2019,2.497,2.5077,2.4685,2.4702,0,,4/11/2019,400.725,404.931,400.055,404.931,#N/A N/A
4/12/2019,290.16,290.47,288.261,290,69727782,,4/12/2019,12.01,12.96,11.95,12.96,#N/A N/A,,4/12/2019,12.775,13.9,12.75,13.77,83740,,4/12/2019,2.5651,2.5651,2.488,2.4952,0,,4/12/2019,391.08,394.793,391.013,394.793,#N/A N/A
4/15/2019,289.97,290.35,289.075,290.24,49596685,,4/15/2019,12.32,13.14,12.24,12.46,#N/A N/A,,4/15/2019,12.575,13.41,12.55,12.85,75518,,4/15/2019,2.5543,2.5723,2.5453,2.5543,0,,4/15/2019,389.071,390.025,388.407,388.516,#N/A N/A
4/16/2019,290.16,291.01,289.5,290.95,52153197,,4/16/2019,12.18,12.47,11.85,12.26,#N/A N/A,,4/16/2019,12.575,12.75,12.25,12.65,67471,,4/16/2019,2.5904,2.594,2.5453,2.5525,0,,4/16/2019,386.268,387.724,385.702,387.433,#N/A N/A
4/17/2019,289.45,291.425,288.99,291.4,58268295,,4/17/2019,12.6,13.02,11.03,12.12,#N/A N/A,,4/17/2019,11.71,12.65,12.25,12.5,2439,,4/17/2019,2.594,2.6121,2.5777,2.5832,0,,4/17/2019,388.304,389.288,384.444,385.237,#N/A N/A
4/18/2019,290.02,290.32,288.66,290.1,68708513,,4/18/2019,12.09,13.12,12.02,12.8,#N/A N/A,,4/18/2019,14.425,15.1,14.35,14.65,73640,,4/18/2019,2.5596,2.5868,2.547,2.5868,0,,4/18/2019,393.031,393.164,389.837,391.316,#N/A N/A
4/19/2019,290.02,290.32,288.66,290.1,68708513,,4/19/2019,12.09,13.12,12.02,12.8,#N/A N/A,,4/19/2019,14.425,15.1,14.35,14.65,73640,,4/19/2019,2.5596,2.5596,2.5596,2.5596,0,,4/19/2019,393.031,393.164,389.837,391.316,#N/A N/A
4/22/2019,290.27,290.435,289.07,289.17,40160140,,4/22/2019,12.42,13.36,12.38,13.21,#N/A N/A,,4/22/2019,14.175,14.75,14.15,14.45,49947,,4/22/2019,2.5885,2.5903,2.556,2.5578,0,,4/22/2019,393.407,394.337,392.71,392.71,#N/A N/A
4/23/2019,292.88,293.14,290.42,290.68,52246633,,4/23/2019,12.28,12.69,12.08,12.66,#N/A N/A,,4/23/2019,14.125,14.4,14.05,14.2,53896,,4/23/2019,2.565,2.5921,2.5614,2.5831,0,,4/23/2019,393.262,395.382,393.186,393.186,#N/A N/A
4/24/2019,292.23,293.16,292.07,292.79,50392914,,4/24/2019,13.14,13.23,12.26,12.53,#N/A N/A,,4/24/2019,14.575,14.65,14.13,14.15,85059,,4/24/2019,2.5181,2.5704,2.5163,2.5686,0,,4/24/2019,396.763,397.601,395.772,395.772,#N/A N/A
4/25/2019,292.05,292.78,290.73,292.12,57770862,,4/25/2019,13.25,14.3,12.81,13.29,#N/A N/A,,4/25/2019,14.825,15.35,14.45,14.6,107199,,4/25/2019,2.5325,2.5397,2.5145,2.5199,0,,4/25/2019,396.36,398.15,395.981,396.724,#N/A N/A
4/26/2019,293.41,293.49,291.2401,292.1,50916423,,4/26/2019,12.73,13.62,12.49,13.44,#N/A N/A,,4/26/2019,14.325,15,14.2,14.9,76563,,4/26/2019,2.4982,2.5432,2.4928,2.5271,0,,4/26/2019,399.232,399.968,396.767,397.564,#N/A N/A
4/29/2019,293.87,294.45,293.41,293.51,57197747,,4/29/2019,13.11,13.27,12.65,13.04,#N/A N/A,,4/29/2019,14.525,14.6,14.2,14.35,56128,,4/29/2019,2.5252,2.5396,2.5018,2.5036,0,,4/29/2019,396.716,399.008,396.117,398.834,#N/A N/A
4/30/2019,294.02,294.34,291.92,293.49,81111733,,4/30/2019,13.12,14.05,12.88,13.11,#N/A N/A,,4/30/2019,14.425,14.98,14.35,14.55,70082,,4/30/2019,2.5018,2.5486,2.5,2.5108,0,,4/30/2019,397.824,398.264,394.854,395.493,#N/A N/A
5/1/2019,291.81,294.95,291.8,294.72,71671870,,5/1/2019,14.8,14.83,12.74,12.86,#N/A N/A,,5/1/2019,15.225,15.47,14.2,14.37,92436,,5/1/2019,2.4999,2.5179,2.4533,2.4999,0,,5/1/2019,395.636,401.887,394.595,397.76,#N/A N/A
5/2/2019,291.18,292.7,289.52,291.68,65030170,,5/2/2019,14.42,15.92,13.8,14.35,#N/A N/A,,5/2/2019,15.175,15.91,14.7,15.35,141907,,5/2/2019,2.5414,2.5558,2.5017,2.5017,0,,5/2/2019,394.986,395.296,393.338,393.677,#N/A N/A
